name,full_name,trip_count,trip_list,stop_count,stop_list,id,direction_id
MF-500L BSK-KRPGH,Banashankari Bus Station → Krishnaraja Pura Govt Hospital,13,"[ ""09:05:00"", ""09:20:00"", ""10:10:00"", ""10:30:00"", ""10:50:00"", ""11:10:00"", ""11:50:00"", ""17:00:00"", ""17:15:00"", ""19:30:00"", ""20:00:00"", ""21:40:00"", ""22:20:00"" ]",34,"[ ""Banashankari Bus Station"", ""Sangam Circle"", ""Jayanagara 5th Block"", ""Marenahalli (Marenahalli Metro Station)"", ""Ragigudda Temple"", ""East End Jayanagara"", ""MICO Layout BTM"", ""BTM Layout Water Tank"", ""BTM Layout 16th Main"", ""Kuvempunagara ( BTM Layout)"", ""Central Silk Board"", ""SI Apartment HSR Layout"", ""14th Main HSR Layout"", ""Depot-25 Gate"", ""Agara Junction"", ""Ibbaluru"", ""Sarjapura Ring Road Junction"", ""Bellanduru Petrol Bunk"", ""Bellanduru City light Apartment"", ""Eco Space"", ""Devarabisanahalli Ring Road"", ""New Horizon College"", ""Kadubisanahalli"", ""Multiplex Marathahalli"", ""Kalamandira  Marathahalli Bridge"", ""Karthik Nagara"", ""Dodda Nekkundi Bridge\/Rainbow Hospital"", ""EMC2"", ""Mahadevapura Ring Road"", ""B Narayanapura Ring Road"", ""KR Pura Railway Station"", ""Tin Factory"", ""ITI Colony Gate"", ""Krishnaraja Pura Govt Hospital"" ]","103",0
MF-500L BSK-KRPGH,Krishnaraja Pura Govt Hospital → Banashankari Bus Station,14,"[ ""05:00:00"", ""05:20:00"", ""05:40:00"", ""06:00:00"", ""06:40:00"", ""07:30:00"", ""07:40:00"", ""11:55:00"", ""12:10:00"", ""14:00:00"", ""14:20:00"", ""15:40:00"", ""16:20:00"", ""17:00:00"" ]",34,"[ ""Krishnaraja Pura Govt Hospital"", ""ITI Colony Gate"", ""Tin Factory"", ""KR Pura Railway Station"", ""B Narayanapura Ring Road"", ""Mahadevapura Ring Road"", ""EMC2"", ""Dodda Nekkundi Bridge\/Rainbow Hospital"", ""Karthik Nagara"", ""Kalamandira Marathahalli Bridge"", ""Multiplex Marathahalli"", ""Kadubisanahalli"", ""New Horizon College"", ""Devarabisanahalli Ring Road"", ""Eco Space"", ""Bellanduru City Light Appartment"", ""Bellanduru Petrol Bunk"", ""Sarjapura Ring Road Junction"", ""Ibbaluru"", ""Agara Junction"", ""Depot-25 Gate (Central Silk Board)"", ""14th Main HSR Layout"", ""SI Apartment HSR Layout"", ""Central Silk Board"", ""Kuvempunagara Bus Station(BTM Layout)"", ""BTM Layout 16th Main"", ""BTM Layout Water Tank"", ""MICO Layout BTM"", ""East End Jayanagara"", ""Ragigudda Temple"", ""Marenahalli (Marenahalli Metro Station)"", ""Jayanagara 5th Block"", ""Sangam Circle"", ""Banashankari Bus Station"" ]","103",1
314-T VSD-RMN,Vidhana Soudha → Rameshnagara,1,"[ ""17:45:00"" ]",27,"[ ""Vidhana Soudha"", ""Maharani College"", ""Vidhana Soudha Karnataka High Court"", ""GPO"", ""BRV Talkies Cubbon Road"", ""Maniksha Parade Ground"", ""Manipal Centre MG Road"", ""Lido Talkies"", ""Halasuru Police Station"", ""Halasuru"", ""Lakshmipura"", ""Double Road Indiranagara"", ""Indiranagara Metro Station"", ""Indiranagara Police Station\/KFC"", ""CMH Hospital"", ""Thippasandra"", ""Thippasandra Market"", ""Ganesha Temple Thippasandra"", ""BEML Gate"", ""GM Palya"", ""Byrasandra Cross"", ""Malleshpalya"", ""Maruthinagara Malleshpalya"", ""Malleshpalya New Bus Station(Vignananagar)"", ""Srirama Reddy Layout"", ""Basavanagara"", ""Rameshnagara"" ]","104",0
226-SB,Kempegowda Bus Station → Byramangala,1,"[ ""17:00:00"" ]",52,"[ ""Kempegowda Bus Station"", ""Super Talkies (Cottonpet Hospital)"", ""Rayan Circle"", ""Water Tank Chamarajapet"", ""Chamarajapet"", ""Sirsi Circle"", ""Mysore Road TollGate"", ""New Guddadahalli"", ""Mysore Road Bus Station"", ""BHEL"", ""Mysore Road Metro Station"", ""Nayandahalli"", ""BWSSB Quarters Nayandahalli"", ""Rajarajeshwari nagara Gate"", ""Bengaluru University Gate"", ""Jayaram Das Factory"", ""RV College"", ""Dubasipalya Cross"", ""Mylasandra Cross"", ""Kengeri Bus Station"", ""Kengeri Police Station"", ""Depot-12 Gate"", ""NICE Road Kengeri Road Junction"", ""Basavanagara Kengeri"", ""RR Medical College"", ""Anchepalya"", ""Juggath Farma"", ""Ramohalli Cross"", ""Kumbalagodu"", ""Pepsi Gate"", ""Swami Narayana Gurukula"", ""Kanminake"", ""Kanminake Colony"", ""Hejjala Cross"", ""Dalai Lama College"", ""Sheshagirihalli"", ""Manchanayakanahalli Gate"", ""Veeranjaneya Temple"", ""Railway Gate Lakshmisagara"", ""Kadumane Hotel"", ""Eagleton Resort"", ""Motherson Automotive Cross"", ""Pichaguntarapalya"", ""Gollarapalya"", ""Shyanumangala"", ""Chikka Kuntanahalli Cross"", ""Anchipura Cross"", ""Anchipura"", ""Anchipura Colony"", ""Bannigiri"", ""Bannigiri Cross"", ""Byramangala"" ]","105",0
226-SB,Byramangala → Kempegowda Bus Station,2,"[ ""07:20:00"", ""19:10:00"" ]",49,"[ ""Byramangala"", ""Bannigiri Cross"", ""Bannigiri"", ""Anchipura Colony"", ""Anchipura"", ""Anchipura Cross"", ""Chikka Kuntanahalli Cross"", ""Shyanumangala"", ""Gollarapalya"", ""Pichaguntarapalya"", ""Motherson Automotive Cross"", ""Eagleton Resort"", ""Kadumane Hotel"", ""Railway Gate Lakshmisagara"", ""Veeranjaneya Temple"", ""Manchanayakanahalli Gate"", ""Sheshagirihalli"", ""Dalai Lama College"", ""Hejjala Cross"", ""Kanminake Colony"", ""Kanminake"", ""Swami Narayana Gurukula"", ""Pepsi Gate"", ""Kumbalagodu"", ""Ramohalli Cross"", ""Juggath Pharma"", ""Anchepalya"", ""RR Medical College"", ""Basavanagara Kengeri"", ""NICE Road Kengeri Road Junction"", ""Kengeri Police Station"", ""Kengeri Bus Station"", ""Mylasandra Cross"", ""Dubasipalya Cross"", ""RV College"", ""Jayaram Das Factory"", ""Bengaluru University Gate"", ""Rajarajeshwari nagara Gate"", ""BWSSB Quarters Nayandahalli"", ""Nayandahalli"", ""Mysore Road Metro Station"", ""BHEL"", ""Deepanjalinagara"", ""Bapujinagara"", ""New Guddadahalli"", ""Mysore Road TollGate"", ""Sirsi Circle"", ""Binny MIll"", ""Kempegowda Bus Station"" ]","105",1
291-H,Kempegowda Bus Station → RK Hegde Nagara,16,"[ ""06:00:00"", ""06:55:00"", ""08:00:00"", ""09:15:00"", ""10:15:00"", ""10:55:00"", ""12:00:00"", ""12:50:00"", ""15:20:00"", ""15:25:00"", ""16:25:00"", ""17:45:00"", ""17:55:00"", ""19:10:00"", ""20:25:00"", ""21:55:00"" ]",29,"[ ""Kempegowda Bus Station"", ""Maharani College"", ""Vidhana Soudha Karnataka High Court"", ""Indian Express"", ""Cunningham Road"", ""Vasantha Nagara"", ""Bamboo Bazaar"", ""Coles Park"", ""Doddy"", ""Canara Bank Tannery Road"", ""Periyar Nagara Circle"", ""Muslim Colony"", ""Postal and Telecom Colony"", ""Venkateshapura"", ""Kadugondanahalli Police Station"", ""Kadugondanahalli Railway Gate"", ""Arebic College"", ""Govindapura Cross"", ""Glass Factory"", ""Nagavara"", ""Nagawara Junction"", ""Nagavara Junction Petrol Bunk"", ""Vidyasagara"", ""Sarayipalya"", ""Ashwath Nagara"", ""Thanisandra"", ""Book Factory Thanisandra"", ""K Narayanapura Cross"", ""RK Hegde Nagara"" ]","106",0
291-H,RK Hegde Nagara → Kempegowda Bus Station,15,"[ ""06:00:00"", ""06:55:00"", ""08:00:00"", ""09:00:00"", ""09:15:00"", ""10:55:00"", ""11:45:00"", ""13:55:00"", ""15:20:00"", ""16:25:00"", ""16:30:00"", ""17:55:00"", ""19:10:00"", ""20:25:00"", ""21:55:00"" ]",30,"[ ""RK Hegde Nagara"", ""K Narayanapura Cross"", ""Book Factory Thanisandra"", ""Thanisandra"", ""Ashwath Nagara"", ""Sarayipalya"", ""Vidyasagara"", ""Nagavara Junction Petrol Bunk"", ""Nagawara Junction"", ""Nagavara"", ""Glass Factory"", ""Govindapura Cross"", ""Arebic College"", ""Kadugondanahalli Railway Gate"", ""Kadugondanahalli Police Station"", ""Venkateshapura"", ""Postal and Telecom Colony"", ""Muslim Colony"", ""Periyar Nagara Circle"", ""Canara Bank Tannery Road"", ""Doddy"", ""Coles Park"", ""Bamboo Bazaar"", ""CSI Hospital"", ""Indian Express"", ""Vidhana Soudha Karnataka High Court"", ""MS Building"", ""Maharani College"", ""Cauvery Bhavana"", ""Kempegowda Bus Station"" ]","106",1
248-AB NGSMS-CKB,Chikka Banavara → Nagasandra Metro Station,2,"[ ""22:40:00"", ""23:35:00"" ]",11,"[ ""Chikka Banavara"", ""Chikkabanavara Railway Station"", ""Janapriya Apartment"", ""Sapthagiri Hospital"", ""Sapthagiri College"", ""Bone Mill"", ""Bagalagunte"", ""Widia School"", ""8th Mile Dasarahalli"", ""Deepak Factory"", ""Nagasandra Metro Station"" ]","107",1
238-U,Kempegowda Bus Station → Muddinapalya Junction,71,"[ ""04:45:00"", ""05:00:00"", ""05:15:00"", ""05:30:00"", ""05:45:00"", ""06:15:00"", ""06:30:00"", ""06:50:00"", ""06:55:00"", ""07:00:00"", ""07:11:00"", ""07:25:00"", ""07:30:00"", ""07:40:00"", ""08:00:00"", ""08:10:00"", ""08:20:00"", ""08:30:00"", ""08:40:00"", ""08:45:00"", ""08:50:00"", ""09:15:00"", ""09:25:00"", ""09:30:00"", ""10:00:00"", ""10:00:00"", ""10:10:00"", ""10:30:00"", ""10:40:00"", ""10:45:00"", ""11:00:00"", ""11:10:00"", ""12:15:00"", ""12:55:00"", ""12:55:00"", ""13:15:00"", ""13:40:00"", ""14:00:00"", ""14:05:00"", ""14:15:00"", ""14:20:00"", ""14:25:00"", ""14:55:00"", ""15:00:00"", ""15:05:00"", ""15:15:00"", ""15:20:00"", ""15:35:00"", ""15:45:00"", ""15:55:00"", ""16:05:00"", ""16:15:00"", ""16:20:00"", ""16:50:00"", ""17:20:00"", ""17:45:00"", ""17:55:00"", ""18:10:00"", ""18:20:00"", ""18:30:00"", ""18:40:00"", ""18:40:00"", ""19:05:00"", ""19:30:00"", ""19:45:00"", ""19:55:00"", ""20:05:00"", ""20:25:00"", ""20:45:00"", ""21:00:00"", ""21:55:00"" ]",30,"[ ""Kempegowda Bus Station"", ""Okalipura"", ""Minerva Mill"", ""1st Cross Magadi Road"", ""5th Cross Magadi Road"", ""10th Cross Magadi Road"", ""Prasanna Theatre"", ""Magadi Road TollGate"", ""Manuvana"", ""Vijayanagara Vijaya Bank"", ""Vijayanagara"", ""Govindarajanagara"", ""Prashanth Nagara"", ""Saraswathi Nagara"", ""Priyadarshini Layout"", ""Moodalapalya"", ""Kalyananagara"", ""Byraveshwaranagara"", ""Maruthi Nagara"", ""Nagarabhavi Circle"", ""Manasa Nagara"", ""NGEF Layout Nagarabhavi"", ""Vinayaka Layout Nagarabhavi"", ""Kengunte Circle"", ""Ambedkar Institute of Technology"", ""Deepa Complex"", ""ITI Layout"", ""Nagarabhavi Vishweshwaraiah Sports Club"", ""Annapoorneshwari nagara Cross"", ""Muddinapalya Junction"" ]","108",0
238-U,Muddayanapalya Junction → Kempegowda Bus Station,73,"[ ""04:45:00"", ""05:00:00"", ""05:30:00"", ""05:45:00"", ""06:00:00"", ""06:20:00"", ""06:35:00"", ""07:10:00"", ""07:20:00"", ""07:30:00"", ""07:40:00"", ""07:45:00"", ""07:50:00"", ""08:20:00"", ""08:25:00"", ""08:30:00"", ""08:50:00"", ""09:05:00"", ""09:10:00"", ""09:20:00"", ""09:30:00"", ""09:40:00"", ""09:40:00"", ""09:50:00"", ""10:25:00"", ""10:40:00"", ""10:50:00"", ""10:55:00"", ""10:55:00"", ""11:15:00"", ""11:25:00"", ""11:45:00"", ""11:55:00"", ""12:00:00"", ""12:00:00"", ""12:10:00"", ""13:50:00"", ""14:05:00"", ""14:05:00"", ""14:20:00"", ""14:40:00"", ""14:55:00"", ""15:15:00"", ""15:20:00"", ""15:20:00"", ""15:40:00"", ""15:50:00"", ""16:10:00"", ""16:20:00"", ""16:30:00"", ""16:35:00"", ""16:45:00"", ""16:55:00"", ""17:05:00"", ""17:20:00"", ""17:30:00"", ""17:35:00"", ""17:40:00"", ""17:50:00"", ""18:25:00"", ""18:45:00"", ""19:00:00"", ""19:15:00"", ""19:25:00"", ""19:35:00"", ""19:45:00"", ""19:45:00"", ""20:05:00"", ""20:35:00"", ""20:55:00"", ""21:15:00"", ""21:35:00"", ""21:55:00"" ]",30,"[ ""Muddayanapalya Junction"", ""Annapoorneshwarinagara Cross"", ""Nagarabhavi Vishweshwaraiah Sports Club"", ""ITI Layout"", ""Deepa Complex"", ""Ambedkar Institute of Technology"", ""Kengunte Circle"", ""Vinayaka Layout Nagarabhavi"", ""NGEF Layout Nagarabhavi"", ""12th Block Nagarabhavi"", ""Manasa Nagara"", ""Nagarabhavi Circle"", ""Maruthi Nagara"", ""Byraveshwaranagara"", ""Kalyananagara"", ""Moodalapalya"", ""Priyadarshini Layout"", ""Saraswathi Nagara"", ""Prashanth Nagara"", ""Govindarajanagara"", ""Vijayanagara"", ""Manuvana"", ""Magadi Road TollGate"", ""Prasanna Theatre"", ""10th Cross Magadi Road"", ""5th Cross Magadi Road"", ""1st Cross Magadi Road"", ""Minerva Mill"", ""Okalipura"", ""Kempegowda Bus Station"" ]","108",1
402-D JLOW-VSD-SBS,Judicial Layout Water Tank → Shivajinagara Bus Station,1,"[ ""09:20:00"" ]",29,"[ ""Judicial Layout Water Tank"", ""Judical Layout Jn of 14th Cross"", ""Judicial Layout YHK"", ""Chikka Bommasandra Cross"", ""Sharavathi Hotel"", ""Sheshadripuram College"", ""NES Office"", ""Yalahanka Police Station"", ""Allalasandra Gate"", ""Jakkur Aerodrum"", ""GKVK GATE"", ""Byatarayanapura"", ""Kodigehalli Gate"", ""Military Dairy Farm (Esteem Mall)"", ""Hebbala Bridge"", ""Hebbala"", ""Canara Bank Hebbala"", ""Veterinary Hospital"", ""CBI"", ""Gangenahalli"", ""Mekhri Circle"", ""Palace Ground"", ""RM Guttahalli"", ""Sophiya School"", ""Telephone Exchange AGO\/VSD"", ""Maharani College"", ""Vidhana Soudha Karnataka High Court"", ""Indian Express"", ""Shivajinagara Bus Station"" ]","109",0
398-H,Jigani APC Circle → Hosakote Bus Stand (Old),6,"[ ""07:11:00"", ""07:46:00"", ""10:55:00"", ""13:20:00"", ""13:40:00"", ""13:50:00"" ]",79,"[ ""Jigani APC Circle"", ""Maruthi Nagara"", ""OMEX Circle Sriramapura"", ""Sriramapura Bommasandra Road"", ""Yarandahalli"", ""Biocon Jigani Road"", ""Rupesh Hotel"", ""Aravinda Limited"", ""Industrial Area Water Tank Bommasandra"", ""Bommasandra"", ""BTL College"", ""Hennagara Gate"", ""Chandapura"", ""Hale Chandapura"", ""Tirumagondanahalli"", ""Neraluru Gate"", ""Guddahatti Gate"", ""Guestline Hotel"", ""Yadavanahalli"", ""Attibele Bus Stand"", ""Jigala Cross"", ""Indlubele"", ""Anjaneya Temple Bidaraguppe"", ""Bidaraguppe"", ""Sriram Properties"", ""Silk Farm"", ""S Medahalli"", ""Thyavakanahalli Gate"", ""Exide Gate"", ""Billapura"", ""Boorugunte"", ""Garments Factory Borugunte"", ""Handenahalli"", ""Sarjapura"", ""Sarjapura Circle"", ""Sompura Gate"", ""Crystal Apartment Sarjapura Road"", ""Yamare"", ""Chambenahalli"", ""Thigalara Chowdenahalli Cross"", ""Dommasandra"", ""TISB Boys Hostel"", ""Green Wood High School"", ""Heggondanahalli"", ""Gunjuru"", ""Vinayakanagara Varthur"", ""KK School"", ""Varthuru Police Station"", ""Varthuru"", ""Varthuru Govt College"", ""Varthur kodi"", ""Forum Mall"", ""Brooke Bond"", ""White Field Post Office"", ""Sai Baba General Hospital"", ""Munish Singh Hospital"", ""Coffee Day Hope Farm"", ""Hope Farm"", ""Kadugodi Bridge"", ""Sathya Sai Baba Mandir"", ""Bellathur"", ""Seegehalli Gate  Kadugodi"", ""Shell Petrol Bunk"", ""Chaithanya Samarpan Apartment"", ""Sai Lakshmi Industries"", ""Bevina Mara Kannamangala"", ""Kannamangala Gate"", ""Khaji Sonnenahalli Gate"", ""Safal Market"", ""Gorivegere Gate"", ""Sannathammanahalli"", ""Budigere Cross"", ""Katamanallur Gate"", ""Hosakote Kodi"", ""Hosakote Toll"", ""Hosakote High School"", ""Hosakote BEO office"", ""Hosakote Flower Market"", ""Hosakote Bus Stand (Old)"" ]",10a,0
