name,full_name,trip_count,trip_list,stop_count,stop_list,id,direction_id
295-A,Dodda Gubbi → Kempegowda Bus Station,4,"[ ""05:30:00"", ""08:05:00"", ""15:45:00"", ""19:00:00"" ]",30,"[ ""Dodda Gubbi"", ""Bileshivale"", ""Kyalasanahalli"", ""Byrathi"", ""Byrathi Cross"", ""K Narayanapura Cross"", ""Geddalahalli"", ""Janaki Rama Layout"", ""Hennur"", ""Hennur Bande Sai Baba Temple"", ""Hennuru Petrol Bunk"", ""Hennur Cross"", ""Hennur Junction"", ""Depot-10 Gate"", ""Kacharakanahalli"", ""Jyothi School"", ""Lingarajapura"", ""Lingarajapura Bridge"", ""Charls School Toll Gate"", ""Devis Road"", ""Clarence School"", ""Frazer Town"", ""Coles Park"", ""Bamboo Bazaar"", ""CSI Hospital"", ""Indian Express"", ""Vidhana Soudha Karnataka High Court"", ""Maharani College"", ""Cauvery Bhavana"", ""Kempegowda Bus Station"" ]",18g,1
258-N SBS-CNS SVN,Shivajinagara Bus Station → Centre For Nano And Soft Matter Sciences,1,"[ ""14:30:00"" ]",37,"[ ""Shivajinagara Bus Station"", ""Indian Express"", ""Cunningham Road"", ""Vasantha Nagara"", ""Jayamahal"", ""Munireddy Palya J C Nagara"", ""TV Tower"", ""Mekhri Circle"", ""CPRI"", ""Tata Institute"", ""Yeshawanthapura Bus Station"", ""Govardhan Talkies"", ""RMC Yard (Yashawanthapura New Railway Station)"", ""MEI Factory"", ""Goraguntepalya"", ""CMTI"", ""SRS Peenya"", ""Peenya Industry Metro Station"", ""Jalahalli Cross"", ""T Dasarahalli"", ""8th Mile Dasarahalli"", ""Deepak Factory"", ""Nagasandra Metro Station"", ""Widia Factory"", ""Marison Factory"", ""Chikkabidarakallu"", ""Jindal"", ""Anchepalya"", ""Madavara"", ""TCI"", ""Madanayakanahalli"", ""Makali"", ""Adakimaranahalli"", ""Ravuthanahalli Cross"", ""Narayanappanapalya Adakimaranahalli"", ""Shivanapura Colony Cross"", ""Centre For Nano And Soft Matter Sciences"" ]",18h,0
MF-1G,ITPL Metro Station → ITPL Metro Station,23,"[ ""06:05:00"", ""06:40:00"", ""07:15:00"", ""07:55:00"", ""08:20:00"", ""08:45:00"", ""09:15:00"", ""09:40:00"", ""10:10:00"", ""10:55:00"", ""11:30:00"", ""12:20:00"", ""13:10:00"", ""14:00:00"", ""15:00:00"", ""15:30:00"", ""16:10:00"", ""16:30:00"", ""17:05:00"", ""18:00:00"", ""19:00:00"", ""19:55:00"", ""20:50:00"" ]",16,"[ ""ITPL Metro Station"", ""GR Tech Park ITPL"", ""BPL"", ""Hope Farm"", ""MVJ College Channasandra"", ""Channasandra"", ""Nagondanahalli"", ""Immadihalli"", ""White Field Post Office"", ""Sai Baba General Hospital"", ""Whitefiled ACP Police Station"", ""Munish Singh Hospital"", ""Hope Farm"", ""BPL"", ""GR Tech Park ITPL"", ""ITPL Metro Station"" ]",18i,0
168-D,Kempegowda Bus Station → Tavarekere Aladamara,12,"[ ""06:30:00"", ""08:10:00"", ""09:45:00"", ""10:35:00"", ""11:35:00"", ""12:15:00"", ""13:15:00"", ""14:00:00"", ""14:55:00"", ""15:40:00"", ""16:50:00"", ""19:40:00"" ]",18,"[ ""Kempegowda Bus Station"", ""Maharani College"", ""KR Circle"", ""St Marthas Hospital"", ""Corporation"", ""Subbaiah Circle"", ""KH Road"", ""Shanthinagara Bus Station"", ""Wilson Garden Police Station"", ""Wilson Garden 12th Cross"", ""Lakkasandra"", ""Nimhans Hospital"", ""Bengaluru Dairy Circle"", ""Muneshwara Devasthana"", ""Sudduguntepalya"", ""Chikka Adugodi"", ""Tavarekere Mori"", ""Tavarekere Aladamara"" ]",18j,0
168-D,Tavarekere Aladamara → Kempegowda Bus Station,13,"[ ""07:20:00"", ""08:30:00"", ""10:40:00"", ""11:25:00"", ""12:25:00"", ""13:05:00"", ""14:05:00"", ""14:50:00"", ""16:00:00"", ""16:30:00"", ""17:45:00"", ""18:45:00"", ""20:35:00"" ]",16,"[ ""Tavarekere Aladamara"", ""Tavarekere Mori"", ""Chikka Adugodi"", ""Sudduguntepalya"", ""Muneshwara Devasthana"", ""Bengaluru Dairy Circle"", ""Nimhans Hospital"", ""Lakkasandra"", ""Wilson Garden 10th Cross"", ""Wilson Garden Police Station"", ""Shanthinagara Bus Station"", ""KH Road"", ""Pallavi Talkies"", ""Corporation"", ""Mysore Bank"", ""Kempegowda Bus Station"" ]",18j,1
D28-HBLB,Hebbala Bridge → Depot-28 Hebbala,47,"[ ""07:20:00"", ""09:15:00"", ""11:00:00"", ""11:35:00"", ""12:40:00"", ""12:40:00"", ""12:45:00"", ""12:45:00"", ""12:45:00"", ""12:45:00"", ""13:05:00"", ""13:05:00"", ""13:15:00"", ""13:15:00"", ""13:15:00"", ""13:20:00"", ""13:25:00"", ""13:30:00"", ""13:35:00"", ""13:55:00"", ""13:55:00"", ""14:05:00"", ""14:55:00"", ""15:15:00"", ""16:40:00"", ""16:55:00"", ""17:45:00"", ""18:05:00"", ""18:15:00"", ""18:20:00"", ""18:35:00"", ""18:35:00"", ""18:35:00"", ""18:40:00"", ""18:55:00"", ""19:00:00"", ""19:05:00"", ""19:05:00"", ""19:25:00"", ""19:35:00"", ""19:35:00"", ""19:45:00"", ""19:45:00"", ""19:55:00"", ""20:05:00"", ""21:20:00"", ""22:30:00"" ]",2,"[ ""Hebbala Bridge"", ""Depot-28 Hebbala"" ]",18k,1
G-4,Brigade Road → Bannerughatta National Park,45,"[ ""05:45:00"", ""06:05:00"", ""06:25:00"", ""07:10:00"", ""07:35:00"", ""07:50:00"", ""08:10:00"", ""08:30:00"", ""08:40:00"", ""08:45:00"", ""08:55:00"", ""09:15:00"", ""09:35:00"", ""09:50:00"", ""10:05:00"", ""10:35:00"", ""10:35:00"", ""10:45:00"", ""11:05:00"", ""11:25:00"", ""12:10:00"", ""13:10:00"", ""13:15:00"", ""13:30:00"", ""14:20:00"", ""14:30:00"", ""14:45:00"", ""14:50:00"", ""15:00:00"", ""15:05:00"", ""15:10:00"", ""15:35:00"", ""15:45:00"", ""16:35:00"", ""16:50:00"", ""16:55:00"", ""17:20:00"", ""18:00:00"", ""18:25:00"", ""19:30:00"", ""19:45:00"", ""20:35:00"", ""21:10:00"", ""21:10:00"", ""21:35:00"" ]",36,"[ ""Brigade Road"", ""Shoolay Circle Brigade Road"", ""Johnson Market"", ""Elgin Floor Mill"", ""Anepalya"", ""MICO Factory Junction"", ""Chandrappanagara"", ""Bengaluru Dairy Circle"", ""Ananda Ashrama (BGT Rd)"", ""Jalabhavan"", ""Gurappanapalya"", ""MICO Layout Checkpost Gopalan mall"", ""JP Nagara 3rd Phase"", ""Bilekahalli"", ""Apollo Hospital"", ""HSBC"", ""Arakere Gate"", ""BPL"", ""Hulimavu Gate"", ""Meenakshi Temple"", ""Loyola School"", ""Kalena Agrahara"", ""Himagiri"", ""Gottigere"", ""T John College"", ""Basavanapura Gate"", ""Koli Farm Gate"", ""Kalkere"", ""AMC College"", ""Sampangiram Nagara"", ""Ryan International School"", ""Vijaya Bank Bannerughatta"", ""Bannerughatta Circle"", ""Prabasnagara"", ""Sampigehalli Bannerughatta"", ""Bannerughatta National Park"" ]",18l,0
G-4,Bannerughatta National Park → Brigade Road,45,"[ ""04:40:00"", ""05:00:00"", ""05:00:00"", ""06:00:00"", ""06:20:00"", ""07:05:00"", ""07:20:00"", ""07:30:00"", ""07:50:00"", ""08:25:00"", ""08:45:00"", ""08:55:00"", ""09:15:00"", ""09:35:00"", ""10:00:00"", ""10:30:00"", ""10:30:00"", ""10:45:00"", ""11:00:00"", ""11:20:00"", ""11:35:00"", ""11:50:00"", ""11:55:00"", ""12:10:00"", ""12:20:00"", ""12:30:00"", ""12:50:00"", ""13:35:00"", ""14:50:00"", ""14:55:00"", ""15:30:00"", ""15:55:00"", ""16:05:00"", ""16:20:00"", ""16:30:00"", ""16:35:00"", ""17:00:00"", ""17:00:00"", ""17:05:00"", ""18:05:00"", ""18:20:00"", ""18:45:00"", ""19:25:00"", ""19:30:00"", ""19:45:00"" ]",36,"[ ""Bannerughatta National Park"", ""Sampigehalli Bannerughatta"", ""Prabasnagara"", ""Bannerughatta Circle"", ""Vijaya Bank Bannerughatta"", ""Ryan International School"", ""Sampangiram Nagara"", ""AMC College"", ""Kalkere"", ""Koli Farm Gate"", ""Basavanapura Gate"", ""T John College"", ""Gottigere"", ""Himagiri"", ""Kalena Agrahara"", ""Loyola School"", ""Meenakshi Temple"", ""Hulimavu Gate"", ""BPL"", ""Arakere Gate"", ""HSBC"", ""Apollo Hospital"", ""Bilekahalli"", ""JP Nagara 3rd Phase"", ""MICO Layout Checkpost Gopalan mall"", ""Gurappanapalya"", ""Ananda Ashrama (BGT Rd)"", ""Bengaluru Dairy Circle"", ""Chandrappanagara"", ""MICO Factory Junction"", ""Anepalya"", ""Elgin Floor Mill"", ""Johnson Market"", ""Shoolay Circle Brigade Road"", ""St Patrick Church"", ""Brigade Road"" ]",18l,1
346-M KBS-GLH,Kempegowda Bus Station → Gollahalli Electronic City,3,"[ ""05:30:00"", ""15:10:00"", ""18:40:00"" ]",37,"[ ""Kempegowda Bus Station"", ""Maharani College"", ""KR Circle"", ""St Marthas Hospital"", ""Corporation"", ""Poornima Talkies"", ""Lalbagh Main Gate"", ""Lalbagh Hopcoms"", ""7th Cross Wilson Garden"", ""Lakkasandra"", ""Nimhans Hospital"", ""Bengaluru Dairy Circle"", ""Muneshwara Devasthana"", ""Hosur Road Junction"", ""St Johns Hospital"", ""Koramangala Water Tank"", ""Kudure Mukha Colony"", ""Krupanidhi College"", ""Madivala"", ""Roopena Agrahara"", ""Bommanahalli"", ""Garvebhavipalya"", ""Kudlu Gate"", ""Singasandra"", ""Hosa Road"", ""Electronic City PESIT College"", ""Konappana Agarhara"", ""Electronic City"", ""ElC City Phase-2 Xavier Institute of Management"", ""Electronic City"", ""Siemens"", ""BHEL"", ""Wipro Gate Shikaripalya Cross"", ""Shikaripalya"", ""Gollahalli Cross"", ""Gollahalli Cross"", ""Gollahalli Electronic City"" ]",18m,0
346-M KBS-GLH,Gollahalli Electronic City → Kempegowda Bus Station,2,"[ ""04:30:00"", ""16:55:00"" ]",32,"[ ""Gollahalli Electronic City"", ""Gollahalli Cross"", ""Gollahalli Cross"", ""Shikaripalya"", ""Electronic City Wipro Main Gate"", ""Wipro Gate Shikaripalya Cross"", ""BHEL"", ""Siemens"", ""Electronic City"", ""Electronic City"", ""Konappana Agarhara"", ""Electronic City PESIT College"", ""Hosa Road"", ""Singasandra"", ""Kudlu Gate"", ""Garvebhavipalya"", ""Bommanahalli"", ""Roopena Agrahara"", ""Madivala"", ""St Johns Hospital"", ""Hosur Road junction"", ""Muneshwara Devasthana"", ""Bengaluru Dairy Circle"", ""Nimhans Hospital"", ""Lakkasandra"", ""7th Cross Wilson Garden"", ""Lalbagh Hopcoms"", ""Lalbagh Main Gate"", ""Town Hall"", ""Corporation"", ""Mysore Bank"", ""Kempegowda Bus Station"" ]",18m,1
234 KMT-MRBS-CLO,KR Market (Kalasipalya) → Chandra Layout,4,"[ ""18:15:00"", ""19:05:00"", ""20:45:00"", ""21:10:00"" ]",15,"[ ""KR Market (Kalasipalya)"", ""Rayan Circle"", ""Water Tank Chamarajapet"", ""Sirsi Circle"", ""Mysore Road TollGate"", ""New Guddadahalli"", ""Mysore Road Bus Station"", ""Deepanjalinagara"", ""Attiguppe"", ""Income Tax Layout Cross 1"", ""Income Tax Layout"", ""Chandra Public School"", ""Ganesha Temple Chandra Layout"", ""Chandra Layout Circle"", ""Chandra Layout"" ]",18n,0
234 KMT-MRBS-CLO,Chandra Layout → KR Market (Kalasipalya),2,"[ ""14:06:00"", ""17:40:00"" ]",15,"[ ""Chandra Layout"", ""Chandra Layout Circle"", ""Ganesha Temple Chandra Layout"", ""Chandra Public School"", ""Income Tax Layout"", ""Income Tax Layout Cross"", ""Attiguppe"", ""Deepanjalinagara"", ""Bapujinagara"", ""New Guddadahalli"", ""Mysore Road TollGate"", ""Sirsi Circle"", ""Vinayaka Talkies"", ""Rayan Circle"", ""KR Market (Kalasipalya)"" ]",18n,1
HSR FDR-1,Agara Junction → Agara Junction,31,"[ ""06:00:00"", ""06:40:00"", ""07:20:00"", ""08:00:00"", ""08:40:00"", ""09:50:00"", ""10:25:00"", ""11:05:00"", ""11:45:00"", ""12:30:00"", ""13:15:00"", ""13:50:00"", ""14:40:00"", ""15:30:00"", ""15:45:00"", ""16:15:00"", ""16:25:00"", ""16:55:00"", ""17:05:00"", ""17:45:00"", ""17:55:00"", ""18:25:00"", ""18:35:00"", ""19:05:00"", ""19:15:00"", ""19:40:00"", ""19:55:00"", ""20:30:00"", ""20:50:00"", ""21:30:00"", ""22:05:00"" ]",21,"[ ""Agara Junction"", ""HSR Layout Police Station"", ""CPWD Quarters HSR Layout"", ""NIFT College"", ""HSR Layout Bescom Office"", ""Parangipalya"", ""The HSR Club"", ""Amruth Sweets"", ""Born Babies"", ""Mangammanapalya"", ""Salarpuria Apartment"", ""Vasudev Adigas Hotel"", ""Srirangam Silk House HSR Layout"", ""MC Donald"", ""Swabiman Park"", ""Nandini Cool Joint"", ""MTR Hotel"", ""Depot-25 Gate"", ""Thirumala Theatre"", ""HSR Lay Out Police Station"", ""Agara Junction"" ]",18o,0
V-328HK,Attibele Bus Stand → Kadugodi Bus Station,2,"[ ""10:40:00"", ""15:30:00"" ]",42,"[ ""Attibele Bus Stand"", ""Jigala Cross"", ""Indlubele"", ""Anjaneya Temple Bidaraguppe"", ""Bidaraguppe"", ""Sriram Properties"", ""Silk Farm"", ""S Medahalli"", ""Thyavakanahalli Gate"", ""Exide Gate"", ""Billapura"", ""Boorugunte"", ""Garments Factory Borugunte"", ""Handenahalli"", ""Sarjapura Circle"", ""Sarjapura"", ""Sarjapura Circle"", ""Sompura Gate"", ""Crystal Apartment Sarjapura Road"", ""Yamare"", ""Chambenahalli"", ""Thigalara Chowdenahalli Cross"", ""Dommasandra"", ""TISB Boys Hostel"", ""Green Wood High School"", ""Heggondanahalli"", ""Gunjuru"", ""Vinayakanagara Varthur"", ""KK School"", ""Varthuru Police Station"", ""Varthuru"", ""Varthuru Govt College"", ""Varthur kodi"", ""Forum Mall"", ""Brooke Bond"", ""White Field Post Office"", ""Sai Baba General Hospital"", ""Munish Singh Hospital"", ""Coffee Day Hope Farm"", ""Hope Farm"", ""Kadugodi Bridge"", ""Kadugodi Bus Station"" ]",18p,1
360-S D38G-ANK-RMH,Depot-38 Gate → Rachammanahalli,1,"[ ""12:11:00"" ]",33,"[ ""Depot-38 Gate"", ""Doddamma Temple"", ""Singena Agrahara Cross Fruits Market"", ""Huskur Gate"", ""Hebbagodi"", ""Bommasandra"", ""BTL College"", ""Hennagara Gate"", ""Chandapura"", ""Chandapura KEB"", ""Suryacity Gate"", ""Surya Nagara"", ""Iggluru"", ""Ramakrishnapura Gate"", ""Marasur Gate"", ""RK Farm"", ""VBHC Apartment Gate"", ""Byagadadenahalli Gate"", ""Avadadenahalli Gate"", ""Karpura Gate"", ""Chikka Hagade Gate"", ""Kavala Hosahalli"", ""Janatha Colony"", ""Anekal Circle"", ""Chowdareddy Circle"", ""Anekal"", ""Chowdareddy Circle"", ""Dinnur Sudhamanagara"", ""Haldenahalli"", ""Karpura Gate"", ""Bidaragere"", ""Vinayaka Nagara Rachammanahalli"", ""Rachammanahalli"" ]",18q,0
328-E,KR Market → Valepura,5,"[ ""06:50:00"", ""10:50:00"", ""13:20:00"", ""16:40:00"", ""20:55:00"" ]",37,"[ ""KR Market"", ""Town Hall"", ""Corporation"", ""St Joseph's Indian School\/ Malya Hospital"", ""Richmond Circle"", ""St Joseph College"", ""Mayohall"", ""Garuda Mall"", ""Hosmat Hospital"", ""Military Accounts Office"", ""Commando Hospital"", ""Domlur"", ""Domlur Flyover"", ""Kodihalli"", ""NAL\/Manipal Hospital"", ""Murugeshpalya"", ""Konena Agrahara"", ""HAL Main Gate"", ""Helicopter Division"", ""HAL Kalyana Mantap"", ""Yamalur Cross"", ""Marathahalli"", ""Marathahalli Bridge"", ""Munnekolalu Cross (Spice Garden)"", ""Kundalahalli Gate"", ""Thubarahalli"", ""Siddapura"", ""Ramagondanahalli"", ""Varthur Kodi"", ""Varthuru Govt College"", ""Janthamane"", ""Madhura Nagara Hostel"", ""Madhura Nagara"", ""Valepura Cross"", ""Valepura Gate"", ""Shanimahathma Temple"", ""Valepura"" ]",18r,0
328-E,Valepura → KR Market,6,"[ ""05:30:00"", ""08:30:00"", ""11:40:00"", ""14:55:00"", ""15:25:00"", ""18:35:00"" ]",35,"[ ""Valepura"", ""Shanimahathma Temple"", ""Valepura Gate"", ""Valepura Cross"", ""Madhura Nagara"", ""Madhura Nagara Hostel"", ""Janthamane"", ""Sorahunse Gate"", ""Varthuru Govt College"", ""Varthur Kodi"", ""Ramagondanahalli"", ""Siddapura"", ""Thubarahalli"", ""Kundalahalli Gate"", ""Munnekolalu Cross (Spice Garden)"", ""Marathahalli Bridge"", ""Marathahalli"", ""Yamalur Cross"", ""HAL Kalyana Mantap"", ""Helicopter Division"", ""HAL Main Gate"", ""Konena Agrahara"", ""Murugeshpalya"", ""NAL Manipal Hospital"", ""Kodihalli"", ""Domlur Flyover"", ""Domlur"", ""Commando Hospital"", ""Military Accounts Office"", ""Kendriya Vidyalaya ASC Center"", ""Life Style (Sacred Heart School)"", ""Richmond Circle"", ""Corporation"", ""Town Hall"", ""KR Market"" ]",18r,1
258-CB NMG-BEL LT,Nelamangala Bus Station → BEL Layout Dasanapura,2,"[ ""08:45:00"", ""15:45:00"" ]",8,"[ ""Nelamangala Bus Station"", ""Anjaneya Temple Nelamangala"", ""TB Nelamangala"", ""Weavers Colony Nelamangala"", ""Nursery Nelamangala"", ""Binnamangala"", ""Vishwa Shanti Ashrama"", ""BEL Layout Dasanapura"" ]",18s,0
241-N,KR Market (Kalasipalya) → Brahma Devara Gudda,6,"[ ""06:35:00"", ""08:30:00"", ""10:55:00"", ""15:10:00"", ""18:00:00"", ""21:05:00"" ]",28,"[ ""KR Market (Kalasipalya)"", ""Rayan Circle"", ""Water Tank Chamarajapet"", ""Chamarajapet"", ""Sirsi Circle"", ""CR Police Ground"", ""Binnypet"", ""Binny Mill"", ""Hunasemara"", ""1st Cross Magadi Road"", ""5th Cross Magadi Road"", ""10th Cross Magadi Road"", ""Prasanna Theatre"", ""Magadi Road TollGate"", ""Agrahara Dasarahalli"", ""KHB Colony"", ""Kamakshipalya"", ""Summanahalli"", ""Kottigepalya"", ""Sunkadakatte"", ""Janapriya Apartment"", ""Herohalli Cross"", ""Anjananagara"", ""East West College Cross"", ""Byadarahalli"", ""College Cross Byadarahalli"", ""Bharath Nagara 2nd Stage"", ""Brahma Devara Gudda"" ]",18t,0
241-N,Brahma Devara Gudda → KR Market (Kalasipalya),6,"[ ""05:45:00"", ""07:30:00"", ""09:30:00"", ""14:05:00"", ""16:40:00"", ""19:20:00"" ]",26,"[ ""Brahma Devara Gudda"", ""Bharath Nagara 2nd Stage"", ""College Cross Byadarahalli"", ""Byadarahalli"", ""East West College Cross"", ""Anjananagara"", ""Herohalli Cross1"", ""Janapriya Apartment"", ""Sunkadakatte"", ""Kottigepalya"", ""Summanahalli"", ""Kamakshipalya"", ""KHB Colony"", ""Agrahara Dasarahalli"", ""Magadi Road TollGate"", ""Prasanna Theatre"", ""10th Cross Magadi Road"", ""5th Cross Magadi Road"", ""1st Cross Magadi Road"", ""Hunasemara"", ""Binny Mill"", ""Binnypet"", ""Sirsi Circle"", ""Vinayaka Talkies"", ""Rayan Circle"", ""KR Market (Kalasipalya)"" ]",18t,1
D33-PPLO,Poornaprajna Layout → Depot-33 Poornapragna layout,136,"[ ""06:27:00"", ""08:35:00"", ""10:20:00"", ""10:59:00"", ""11:14:00"", ""11:18:00"", ""11:19:00"", ""11:24:00"", ""11:25:00"", ""11:29:00"", ""11:29:00"", ""11:34:00"", ""11:44:00"", ""11:49:00"", ""11:50:00"", ""11:53:00"", ""11:54:00"", ""11:54:00"", ""11:58:00"", ""11:59:00"", ""12:08:00"", ""12:14:00"", ""12:14:00"", ""12:14:00"", ""12:19:00"", ""12:23:00"", ""12:23:00"", ""12:24:00"", ""12:24:00"", ""12:24:00"", ""12:28:00"", ""12:29:00"", ""12:34:00"", ""12:34:00"", ""12:39:00"", ""12:39:00"", ""12:39:00"", ""12:43:00"", ""12:44:00"", ""12:44:00"", ""12:44:00"", ""12:44:00"", ""12:44:00"", ""13:04:00"", ""13:04:00"", ""13:09:00"", ""13:13:00"", ""13:14:00"", ""13:19:00"", ""13:34:00"", ""17:04:00"", ""17:04:00"", ""17:04:00"", ""17:34:00"", ""17:48:00"", ""17:54:00"", ""17:59:00"", ""17:59:00"", ""17:59:00"", ""17:59:00"", ""18:00:00"", ""18:04:00"", ""18:09:00"", ""18:09:00"", ""18:14:00"", ""18:14:00"", ""18:19:00"", ""18:19:00"", ""18:24:00"", ""18:24:00"", ""18:28:00"", ""18:29:00"", ""18:33:00"", ""18:34:00"", ""18:34:00"", ""18:39:00"", ""18:39:00"", ""18:44:00"", ""18:49:00"", ""18:49:00"", ""18:54:00"", ""18:54:00"", ""18:59:00"", ""18:59:00"", ""18:59:00"", ""19:04:00"", ""19:04:00"", ""19:09:00"", ""19:09:00"", ""19:09:00"", ""19:09:00"", ""19:09:00"", ""19:09:00"", ""19:14:00"", ""19:14:00"", ""19:14:00"", ""19:19:00"", ""19:24:00"", ""19:29:00"", ""19:44:00"", ""20:14:00"", ""20:24:00"", ""20:39:00"", ""20:54:00"", ""20:54:00"", ""21:09:00"", ""21:14:00"", ""21:19:00"", ""21:24:00"", ""21:29:00"", ""21:29:00"", ""21:29:00"", ""21:34:00"", ""21:39:00"", ""21:39:00"", ""21:39:00"", ""21:39:00"", ""21:39:00"", ""21:44:00"", ""21:44:00"", ""21:44:00"", ""21:44:00"", ""21:44:00"", ""21:49:00"", ""21:49:00"", ""21:49:00"", ""21:49:00"", ""21:49:00"", ""21:54:00"", ""21:54:00"", ""21:54:00"", ""21:59:00"", ""21:59:00"", ""21:59:00"", ""22:04:00"", ""22:14:00"" ]",2,"[ ""Poornaprajna Layout"", ""Depot-33 Poornapragna layout"" ]",18u,1
271 KBS-BELF,BEL Factory → Kempegowda Bus Station,1,"[ ""08:30:00"" ]",17,"[ ""BEL Factory"", ""BEL Circle"", ""Gokula"", ""Mathikere"", ""MS Ramaiah College"", ""Diwanarapalya"", ""Ayyappa Temple Yashawanthapura"", ""Yeshawanthapura Tollgate"", ""Tata Institute"", ""Malleshwara 18th Cross"", ""Malleshwara 13th Cross"", ""Malleshwara 11th Cross"", ""Malleshwara 8th Cross"", ""Malleshwara Circle"", ""Link Road"", ""Central"", ""Kempegowda Bus Station"" ]",18v,1
382-AB,Beerahalli → KR Market,2,"[ ""09:10:00"", ""13:50:00"" ]",55,"[ ""Beerahalli"", ""Shivanaapura"", ""Ganjalahalli"", ""Shivanapura Cross Hosakote"", ""Chennathimmana Gollahalli Gate"", ""Kembaliganahalli Gate"", ""Chikkanahalli"", ""Chikkanahalli Gate"", ""Mugabala"", ""M Hosahalli Gate"", ""Mylapura Gate"", ""Channapura Gate"", ""Atturu"", ""Attivatta Gate"", ""Gottipura Gate"", ""Halasahalli Cross"", ""Kolathuru Gate"", ""Hotel Emerald"", ""Dandupalya Gate"", ""Hosakote Govt Hospital"", ""Santhe Gate"", ""Hosakote K E B Circle"", ""Hosakote Bus Station (TTMC)"", ""Hosakote High School"", ""Hosakote Toll"", ""Hosakote Kodi"", ""Katamanallur Gate"", ""Sapthagiri Convention Hall"", ""Budigere Cross"", ""Bandapura Gate"", ""Avalahalli Hosakote"", ""Cipla Avalahalli"", ""Medahalli"", ""SJES College"", ""Bhattarahalli"", ""TC Palya  Gate Hosakote Road"", ""KR Pura Extension"", ""KR Pura Market"", ""Krishnaraja Pura Govt Hospital"", ""ITI Colony Gate"", ""Tin Factory"", ""Benniganahalli"", ""Bayyappanahalli Metro Station"", ""NGEF"", ""Swamy Vivekananda Metro Station\/Isolation Hospital"", ""Binnamangala"", ""Depot-06 Gate"", ""Halasuru"", ""Lido Talkies"", ""Hosmat Hospital (DIG Office)"", ""Life Style (Sacred Heart School)"", ""Richmond Circle"", ""Corporation"", ""Town Hall"", ""KR Market"" ]",18w,1
356-Z ANK-DNMTB,Dodda Nagamangala Tirumala Bekary → Anekal,1,"[ ""17:00:00"" ]",29,"[ ""Dodda Nagamangala Tirumala Bekary"", ""Chikka Nagamangala"", ""Chikka Nagamangala Gate"", ""Sumuka Layout"", ""Depot-38 Gate"", ""Huskur Gate"", ""Hebbagodi"", ""Bommasandra"", ""BTL College"", ""Hennagara Gate"", ""Chandapura"", ""Chandapura KEB"", ""Suryacity Gate"", ""Surya Nagara"", ""Iggluru"", ""Ramakrishnapura Gate"", ""Marasur Gate"", ""RK Farm"", ""VBHC Apartment Gate"", ""Byagadadenahalli Gate"", ""Avadadenahalli Gate"", ""Karpura Gate"", ""Chikka Hagade Gate"", ""Kavala Hosahalli"", ""Janatha Colony"", ""Anjaneya Temple Anekal"", ""Anekal Circle"", ""Chowdareddy Circle"", ""Anekal"" ]",18x,1
258-DN KBS-DBSP,Dabaspete → Kempegowda Bus Station,5,"[ ""08:35:00"", ""13:50:00"", ""13:55:00"", ""16:30:00"", ""18:30:00"" ]",64,"[ ""Dabaspete"", ""Sompura Tumakur Road"", ""Yadehalli Dabaspete"", ""Kengal Kempohalli"", ""Hosahalli Gate (Rathnam Hotel)"", ""Billinakote"", ""Gundenahalli"", ""Kere Kattiganuru"", ""Mahimapura Temple"", ""Kuluvanahalli Tumakur Road"", ""Dodderi Tumkur Road"", ""Thippagondanahalli Tumkur Road"", ""T Begur"", ""Pepsi Factory"", ""Thonachinakuppe"", ""Bhuvaneshwari Petrol Bunk"", ""Budihal Gate"", ""Bommanahalli"", ""KBD Factory"", ""Nelamangala Jass Toll"", ""Tumkur Road Junction"", ""Nelamangala Hunasemara 1"", ""Nelamangala Bus Station"", ""Anjaneya Temple Nelamangala"", ""TB Nelamangala"", ""Weavers Colony Nelamangala"", ""Nursery Nelamangala"", ""Binnamangala"", ""Vishwa Shanti Ashrama"", ""Arishinakunte"", ""Devannanapalya"", ""Dasanapura"", ""Ravuthanahalli Cross"", ""Adakimaranahalli"", ""Makali"", ""Madanayakanahalli"", ""TCI"", ""Madavara NICE Road"", ""Anchepalya"", ""Jindal"", ""Chikkabidarakallu"", ""Marison Factory"", ""Widia Factory"", ""Deepak Factory"", ""8th Mile Dasarahalli"", ""T Dasarahalli"", ""Jalahalli Cross"", ""Peenya Industry Metro Station"", ""SRS Peenya"", ""CMTI"", ""Goraguntepalya"", ""MEI Factory"", ""RMC Yard (Yeshawanthapura New Railway Station)"", ""Govardhan Talkies"", ""Yeshawanthapura Bus Station"", ""Tata Institute"", ""Malleshwara 18th Cross"", ""Malleshwara 13th Cross"", ""Malleshwara 11th Cross"", ""Malleshwara 8th Cross"", ""Malleshwara Circle"", ""Link Road"", ""Central"", ""Kempegowda Bus Station"" ]",18y,1
